Player,Position,Detailed position,Number,Birth date,Age,Caps,Weight (KG),Height (cm),Birth place,National team,Continent / Region,Team,Country of current team,Continent of current team / Region,Won the World Cup?,How many times played the World Cup? (including this one),Has ever won Champions League?,Previous teams?
Alisson,Goalkeeper,,1,2/10/1992,30,56,,191,Brazil,Brazil,South America,Liverpool,England,Europe,0,,,Internacional (BRA)
Ederson,Goalkeeper,,,17/08/1993,29,18,,188,Brazil,Brazil,South America,Manchester City,England,Europe,0,,,
Weverton,Goalkeeper,,,13/12/1987,34,11,89,189,Brazil,Brazil,South America,Palmeiras,Brazil,South America,0,,,
Alex Sandro,Defender,Right/Left Back,,26/01/1991,31,37,,,Brazil,Brazil,South America,Juventus,Italy,Europe,0,,,
Alex Telles,Defender,Right/Left Back,,15/12/1992,29,7,,,Brazil,Brazil,South America,Sevilla,Spain,Europe,0,,,
Dani Alves,Defender,Right/Left Back,,6/5/1983,39,125,,172,Brazil,Brazil,South America,Pumas,Mexico,North America,0,3,,
Danilo,Defender,Right/Left Back,,15/7/1991,31,15,,,Brazil,Brazil,South America,Juventus,Italy,Europe,0,,,
Bremer,Defender,,,18/03/1997,25,1,,,Brazil,Brazil,South America,Juventus,Italy,Europe,0,,,
Éder Militão,Defender,,,18/01/1998,24,23,,,Brazil,Brazil,South America,Real Madrid,Spain,Europe,0,,,
Marquinhos,Defender,,,14/05/1994,28,70,,,Brazil,Brazil,South America,Paris Saint Germain,France,Europe,0,,,
Thiago Silva,Defender,,,22/09/1984,38,108,,,Brazil,Brazil,South America,Chelsea,England,Europe,0,3,,
Bruno Guimarães,Midfielder,,,16/11/1997,24,8,,,Brazil,Brazil,South America,Newcastle,England,Europe,0,,,
Casemiro,Midfielder,,,23/02/1992,30,64,,,Brazil,Brazil,South America,Manchester United,England,Europe,0,,,
Everton Ribeiro,Midfielder,,,10/04/1989,33,22,,,Brazil,Brazil,South America,Flamengo,Brazil,South America,0,,,
Fabinho,Midfielder,,,23/10/1993,29,28,,,Brazil,Brazil,South America,Liverpool,England,Europe,0,,,
Fred,Midfielder,,,05/03/1993,29,27,,,Brazil,Brazil,South America,Manchester United,England,Europe,0,,,
Lucas Paquetá,Midfielder,,,27/08/1997,25,34,,,Brazil,Brazil,South America,West Ham United,England,Europe,0,,,
Antony,Forward,,,24/02/2000,22,10,,,Brazil,Brazil,South America,Manchester United,England,Europe,0,,,
Gabriel Jesus,Forward,,,03/04/1997,25,56,,,Brazil,Brazil,South America,Arsenal,England,Europe,0,2,,
Gabriel Martinelli,Forward,,,18/06/2001,21,3,,,Brazil,Brazil,South America,Arsenal,England,Europe,0,,,
Neymar Jr.,Forward,,10,05/02/1992,30,120,,,Brazil,Brazil,South America,Paris Saint Germain,France,Europe,0,3,,"Santos (BRA), Barcelona (ESP)"
Pedro,Forward,,,20/06/1997,25,2,,,Brazil,Brazil,South America,Flamengo,Brazil,South America,0,,,
Raphinha,Forward,,,14/12/1996,25,10,,,Brazil,Brazil,South America,Barcelona,Spain,Europe,0,,,
Richarlison,Forward,,,10/05/1997,25,37,,,Brazil,Brazil,South America,Tottenham,England,Europe,0,,,
Rodrygo,Forward,,,09/01/2001,21,6,,,Brazil,Brazil,South America,Real Madrid,Spain,Europe,0,,,
Vinicius Jr.,Forward,,,12/07/2000,22,15,,,Brazil,Brazil,South America,Real Madrid,Spain,Europe,0,,,
Tite,Coach,,,,122,,,,Brazil,Brazil,South America,,,,0,2,0,"Corinthians (BR), Grêmio (BR)"
Kasper Schmeichel,Goalkeeper,,,05/11/1986,35,86,,,Denmark,Denmark,Europe,Nice,France,Europe,0,,,
Oliver Christensen,Goalkeeper,,,22/03/1999,23,1,,,Denmark,Denmark,Europe,Hertha Berlin,Germany,Europe,0,,,
Andreas Christensen,Defender,,,10/04/1996,26,58,,,Denmark,Denmark,Europe,Barcelona,Spain,Europe,0,,,
Simon Kjaer,Defender,,,26/03/1989,33,121,,,Denmark,Denmark,Europe,AC Milan,Italy,Europe,0,,,
Jens Larsen,Defender,,,21/02/1991,31,49,,,Denmark,Denmark,Europe,Trabzonspor,Turkey,Europe,0,,,
Joachim Andersen,Defender,,,31/05/1996,26,19,,,Denmark,Denmark,Europe,Crystal Palace,England,Europe,0,,,
Victor Nelsson,Defender,,,14/10/1998,24,7,,,Denmark,Denmark,Europe,Galatasaray,Turkey,Europe,0,,,
Rasmus Kristensen,Defender,,,11/07/1997,25,10,,,Denmark,Denmark,Europe,Leeds United,England,Europe,0,,,
Joakim Maehle,Defender,,,20/05/1997,25,31,,,Denmark,Denmark,Europe,Atalanta,Italy,Europe,0,,,
Daniel Wass,Midfielder,,,31/05/1989,33,44,,,Denmark,Denmark,Europe,Brondby,Denmark,Europe,0,,,
Thomas Delaney,Midfielder,,,03/09/1991,26,20,,,Denmark,Denmark,Europe,Sevilla,Spain,Europe,0,,,
Christian Eriksen,Midfielder,,,14/02/1992,30,117,,,Denmark,Denmark,Europe,Manchester United,England,Europe,0,,,
Pierre-Emile Hojbjerg,Midfielder,,,05/08/1995,27,60,,,Denmark,Denmark,Europe,Tottenham,England,Europe,0,,,
Mathias Jensen,Midfielder,,,01/01/1996,26,20,,,Denmark,Denmark,Europe,Brentford,England,Europe,0,,,
Mikkel Damsgaard,Midfielder,,,03/07/2000,22,18,,,Denmark,Denmark,Europe,Brentford,England,Europe,0,,,
Jesper Lindstrom,Midfielder,,,29/02/2000,22,6,,,Denmark,Denmark,Europe,Eintracht Frankfurt,Germany,Europe,0,,,
Jonas Wind,Forward,,,07/02/1999,23,15,,,Denmark,Denmark,Europe,Wolfsburg,Germany,Europe,0,,,
Andreas Cornelius,Forward,,,12/03/1993,29,41,,,Denmark,Denmark,Europe,Copenhagen,Denmark,Europe,0,,,
Andreas Olsen,Forward,,,29/12/1999,22,23,,,Denmark,Denmark,Europe,Club Brugge,Belgium,Europe,0,,,
Martin Braithwaite,Forward,,,05/06/1991,31,62,,,Denmark,Denmark,Europe,Espanyol,Spain,Europe,0,,,
Kasper Dolberg,Forward,,,06/10/1997,25,37,,,Denmark,Denmark,Europe,Sevilla,Spain,Europe,0,,,
Kasper Hjulmand,Coach,,,9/4/1972,50,,,,Denmark,Denmark,Europe,,,,0,1,,
Eiji Kawashima,Goalkeeper,,,20/3/1983,39,95,,185,Japan,Japan,Asia,Strasbourg,France,Europe,0,,,
Shuichi Gonda,Goalkeeper,,,3/3/1989,33,33,,187,Japan,Japan,Asia,Shimizu S-Pulse,Japan,Asia,0,,,
Daniel Schmidt,Goalkeeper,,,3/2/1992,30,11,,197,USA,Japan,Asia,Sint-Truiden,Belgium,Europe,0,,,
Yuto Nagatomo,Defender,,,12/9/1986,36,137,,170,Japan,Japan,Asia,Tokyo,Japan,Asia,0,,,
Maya Yoshida,Defender,,,24/8/1988,34,121,,189,Japan,Japan,Asia,Schalke,Germany,Europe,0,,,
Hiroki Sakai,Defender,,,12/4/1990,32,71,,185,Japan,Japan,Asia,Urawa Red Diamonds,Japan,Asia,0,,,
Takehiro Tomiyasu,Defender,,,5/11/1998,24,29,,188,Japan,Japan,Asia,Arsenal,England,Europe,0,,,
Miki Yamane,Defender,,,22/12/1993,28,14,,178,Japan,Japan,Asia,Kawasaki Frontale,Japan,Asia,0,,,
Shogo Taniguchi,Defender,,,15/7/1991,31,13,,183,Japan,Japan,Asia,Kawasaki Frontale,Japan,Asia,0,,,
Ko Itakura,Defender,,,27/1/1987,35,12,,188,Japan,Japan,Asia,Borussia Monchengladbach,Germany,Europe,0,,,
Hiroki Ito,Defender,,,12/5/1999,23,5,,188,Japan,Japan,Asia,Stuttgart,Germany,Europe,0,,,
Gaku Shibasaki,Midfielder,,,28/5/1992,30,59,,175,Japan,Japan,Asia,Leganes,Spain,Europe,0,,,
Wataru Endo,Midfielder,,,9/2/1993,29,43,,178,Japan,Japan,Asia,Stuttgart,Germany,Europe,0,,,
Takumi Minamino,Midfielder,,,16/1/1995,27,43,,,,Japan,Asia,Monaco,France,Europe,0,,,
Junya Ito,Midfielder,,,9/3/1993,29,38,,,,Japan,Asia,Reims,France,Europe,0,,,
Ritsu Doan,Midfielder,,,,24,28,,,,Japan,Asia,Freiburg,Germany,Europe,0,,,
Daichi Kamada,Midfielder,,,5/8/1996,26,21,,,,Japan,Asia,Eintracht Frankfurt,Germany,Europe,0,,,
Takefusa Kubo,Midfielder,,,4/5/2001,21,19,,,,Japan,Asia,Real Sociedad,Spain,Europe,0,,,
Hidemasa Morita,Midfielder,,,10/5/1995,27,17,,,,Japan,Asia,Sporting,Portugal,Europe,0,,,
Ao Tanaka,Midfielder,,,10/9/1998,24,14,,,,Japan,Asia,Fortuna Dusseldorf,Germany,Europe,0,,,
Kaoru Mitoma,Midfielder,,,,25,9,,,,Japan,Asia,Brighton,England,Europe,0,,,
Yuki Soma,Midfielder,,,25/02/1997,25,7,,,,Japan,Asia,Nagoya Grampus,Japan,Asia,0,,,
Takuma Asano,Forward,,,10/11/1994,27,36,,,,Japan,Asia,Bochum,Germany,Europe,0,,,
Ayase Ueda,Forward,,,28/08/1998,24,10,,,,Japan,Asia,Club Brugge,Belgium,Europe,0,,,
Daizen Maeda,Forward,,,20/10/1997,25,8,,,,Japan,Asia,Celtic,Scotland,Europe,0,,,
Shuto Machino,Forward,,,30/09/1999,23,4,,,,Japan,Asia,Shonan Bellmare,Japan,Asia,0,,,
Hajime Moriyasu,Coach,,,23/08/1968,54,,,174,Japan,Japan,Asia,,,,0,1,,
Esteban Alvarado,Goalkeeper,,,28/04/1989,33,24,,,,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Keylor Navas,Goalkeeper,,,15/12/1986,35,107,,,,Costa Rica,Central America,PSG,France,Europe,0,,,
Patrick Sequeira,Goalkeeper,,,01/03/1999,23,2,,,,Costa Rica,Central America,CD Lugo,Spain,Europe,0,,,
Francisco Calvo,Defender,,,08/07/1992,30,75,,,,Costa Rica,Central America,Konyaspor,Turkey,Europe,0,,,
Daniel Chacon,Defender,,,11/04/2001,21,8,,,,Costa Rica,Central America,Colorado Rapids,USA,North America,0,,,
Oscar Duarte,Defender,,,03/06/1989,33,70,,,Nicaragua,Costa Rica,Central America,Al-Wehda,Saudi Arabia,Middle East,0,,,
Keysher Fuller,Defender,,,12/07/1994,28,29,,,,Costa Rica,Central America,Herediano,Costa Rica,Central America,0,,,
Carlos Martinez,Defender,,,30/03/1999,23,5,,,,Costa Rica,Central America,San Carlos,Costa Rica,Central America,0,,,
Ronaldo Matarrita,Defender,,,09/07/1994,28,52,,,,Costa Rica,Central America,FC Cincinnati,USA,North America,0,,,
Bryan Oviedo,Defender,,36,19/02/1990,32,74,,,Costa Rica,Costa Rica,Central America,Real Salt Lake,USA,North America,0,,,
Juan Pablo Vargas,Defender,,5,06/06/1995,27,11,,192,Costa Rica,Costa Rica,Central America,Millonarios,Colombia,South America,0,,,
Kendall Waston,Defender,,4,01/01/1988,34,61,,196,Costa Rica,Costa Rica,Central America,Saprissa,Costa Rica,Central America,0,,,
Brandon Aguilera,Midfielder,,28,28/06/2003,19,4,,182,Costa Rica,Costa Rica,Central America,Nott'm Forest,England,Europe,0,,,
Jewison Bennette,Midfielder,,19,15/06/2004,18,7,,175,Costa Rica,Costa Rica,Central America,Sunderland,England,Europe,0,,,
